Codo_Izq_mean,Codo_Izq_var,Codo_Izq_min,Codo_Izq_max,Codo_Der_mean,Codo_Der_var,Codo_Der_min,Codo_Der_max,Muñeca_Izq_mean,Muñeca_Izq_var,Muñeca_Izq_min,Muñeca_Izq_max,Muñeca_Der_mean,Muñeca_Der_var,Muñeca_Der_min,Muñeca_Der_max,Rodilla_Izq_mean,Rodilla_Izq_var,Rodilla_Izq_min,Rodilla_Izq_max,Rodilla_Der_mean,Rodilla_Der_var,Rodilla_Der_min,Rodilla_Der_max,Talon_Izq_mean,Talon_Izq_var,Talon_Izq_min,Talon_Izq_max,Talon_Der_mean,Talon_Der_var,Talon_Der_min,Talon_Der_max,Vel_Codo_Izq_mean,Vel_Codo_Izq_var,Vel_Codo_Izq_min,Vel_Codo_Izq_max,Vel_Codo_Der_mean,Vel_Codo_Der_var,Vel_Codo_Der_min,Vel_Codo_Der_max,Vel_Muñeca_Izq_mean,Vel_Muñeca_Izq_var,Vel_Muñeca_Izq_min,Vel_Muñeca_Izq_max,Vel_Muñeca_Der_mean,Vel_Muñeca_Der_var,Vel_Muñeca_Der_min,Vel_Muñeca_Der_max,Vel_Rodilla_Izq_mean,Vel_Rodilla_Izq_var,Vel_Rodilla_Izq_min,Vel_Rodilla_Izq_max,Vel_Rodilla_Der_mean,Vel_Rodilla_Der_var,Vel_Rodilla_Der_min,Vel_Rodilla_Der_max,Vel_Talon_Izq_mean,Vel_Talon_Izq_var,Vel_Talon_Izq_min,Vel_Talon_Izq_max,Vel_Talon_Der_mean,Vel_Talon_Der_var,Vel_Talon_Der_min,Vel_Talon_Der_max,persona,actividad,repeticion
0.726572664,9.49e-05,0.717349315,0.747510248,0.525176204,1.02e-05,0.51980723,0.530043727,0.37222315,0.0001358,0.351187794,0.38279719,0.345161632,0.001322828,0.279214036,0.382151259,0.349446209,0.002039208,0.270003466,0.395859909,0.510054394,2.59e-05,0.503540562,0.519105902,0.340770059,0.000230119,0.318803922,0.361961473,0.33679955,0.001803797,0.268413671,0.388274359,-0.002277323,6.94e-05,-0.018710761,0.006799039,-0.000211553,1.83e-05,-0.006795277,0.008226045,0.003951174,3.99e-05,-0.004707093,0.011960186,0.008973812,0.000410783,-0.01159572,0.039378961,0.01101823,0.000586604,-0.015278037,0.046014041,-0.001041304,2.41e-05,-0.005812951,0.008168493,0.002311079,0.000141709,-0.014293822,0.018837954,0.005303664,0.00096255,-0.029699911,0.050297352,Alan,sentarse,1
0.697751308,0.000104045,0.688404422,0.716384074,0.518248548,4.4e-05,0.5124402,0.528824102,0.357453997,0.000268104,0.336266007,0.373837919,0.30870234,0.000417913,0.274544654,0.325642627,0.320816336,0.000712525,0.275096609,0.345861013,0.502680704,2.96e-05,0.497078981,0.510404469,0.330035975,0.000264237,0.313095175,0.354970992,0.296345783,0.00048356,0.264349522,0.32530546,0.001612468,0.0001177,-0.016692376,0.016511447,0.000654723,5.64e-05,-0.010931907,0.013053137,0.005229028,3.34e-05,-0.000968717,0.012643003,0.006907991,7.26e-05,-0.001958123,0.019736574,0.010109201,9.85e-05,-8.55e-05,0.025217349,0.000441973,4.37e-05,-0.01056685,0.010791645,0.00598226,1.88e-05,0.0,0.011851679,0.008707991,1.69e-05,0.0,0.012919333,Alan,sentarse,2
0.706006299,0.000163724,0.693022429,0.730728157,0.512979066,1.35e-05,0.509133763,0.519084863,0.359408805,0.000235994,0.34277626,0.381628255,0.311988953,0.000565729,0.28050635,0.34097795,0.321039634,0.000633244,0.283507759,0.346273979,0.501971666,8.31e-06,0.498048422,0.505558384,0.335796911,0.00011912,0.323392679,0.351567867,0.309622212,0.000471719,0.279228536,0.332436238,-0.002597074,0.000126124,-0.022435237,0.010629079,-0.000551214,2.86e-05,-0.0099511,0.004803011,0.00525273,2.22e-05,-0.002082886,0.011050157,0.0086388,2.63e-05,0.0,0.013649151,0.0089368,4.63e-05,-0.000208618,0.015686367,-0.000260824,2.05e-05,-0.007509963,0.003662361,0.003570218,1.51e-05,-0.003183663,0.007811693,0.007473807,3.63e-05,-0.000891054,0.014040552,Alan,sentarse,3
0.734888418,0.000159623,0.71638131,0.748117331,0.526415433,2.86e-05,0.520897856,0.533686033,0.369029265,0.000293808,0.343692417,0.386731364,0.318464522,0.000327117,0.291044513,0.338574464,0.326617783,0.000345496,0.295893045,0.344872268,0.506180924,3.01e-05,0.499506018,0.513094101,0.328842056,8.25e-05,0.315474747,0.339193161,0.278468148,0.000101567,0.26186393,0.291203815,0.005289337,1.75e-05,0.0,0.012088561,-2.1e-05,2.97e-05,-0.007226854,0.006357621,-0.007173158,2.84e-05,-0.014596405,0.0,-0.007921658,2.58e-05,-0.013190933,0.0,-0.008163204,4.7e-05,-0.018075488,0.0,0.000302944,3.08e-05,-0.006737352,0.007172211,-0.003953069,7e-06,-0.007483672,0.0,-0.004889981,1.7e-05,-0.011145294,0.0,Alan,pararse,1
0.747442306,0.000254431,0.724542261,0.765877112,0.532940386,6.56e-05,0.523866828,0.54384791,0.365488146,9.08e-05,0.353097934,0.374312927,0.313166591,0.000241612,0.291481864,0.328103966,0.326585013,0.000797079,0.291865422,0.356105841,0.521386656,6.51e-05,0.508558482,0.530144418,0.355731593,4.59e-05,0.347756258,0.362922308,0.309631623,0.000500175,0.282829417,0.332150188,0.006889142,1.85e-05,0.0,0.01310686,0.000155271,6.8e-05,-0.009664979,0.010809047,-0.003075454,2.86e-05,-0.010401404,0.002407682,-0.00540521,5.65e-05,-0.016002819,0.00419084,-0.010321277,0.00012127,-0.02258637,0.002312757,0.001554627,5.77e-05,-0.006797211,0.010884514,-0.001750871,2.27e-05,-0.007916812,0.0040346,-0.008139568,7.79e-05,-0.01909893,0.000483364,Alan,pararse,2
0.732206902,0.000125659,0.717073579,0.744252267,0.526570275,4.66e-05,0.518811922,0.535728901,0.37748552,5.32e-05,0.36632088,0.383256504,0.325153909,0.000116404,0.314305753,0.338742237,0.327910302,0.000176612,0.312686769,0.343384284,0.51303812,3.2e-05,0.506998014,0.520830183,0.350577252,3.27e-06,0.348245915,0.352518466,0.309382486,0.000104742,0.297905504,0.324780344,0.005435738,1.77e-05,0.0,0.011328712,-0.000410166,6.41e-05,-0.009399744,0.008373381,-0.003387125,1.53e-05,-0.007802601,0.0,-0.004887297,2.34e-05,-0.011482477,0.0,-0.005457853,6.28e-05,-0.017212838,0.003408248,-0.000204953,4.46e-05,-0.007374167,0.006944665,-0.000728318,3.05e-06,-0.003334868,0.001467689,-0.003996651,5.41e-05,-0.011263883,0.006891586,Alan,pararse,3
0.751419672,6.81e-07,0.750357592,0.752355947,0.524151889,3.63e-06,0.521140437,0.526222955,0.362617602,0.000124832,0.348068108,0.376319179,0.33461777,0.002912258,0.264177487,0.402256515,0.336118396,0.005115425,0.242121141,0.422409694,0.503496733,1.81e-06,0.501632037,0.505153778,0.338924196,8.91e-05,0.324128754,0.350970485,0.315329971,0.0028988,0.25305606,0.382071952,-0.000120879,3.93e-07,-0.000767283,0.001044717,-0.00030373,2.11e-06,-0.002035059,0.001731788,-0.000422381,9.27e-05,-0.011694782,0.012478559,-0.004439344,0.002036841,-0.062632111,0.053773669,-0.0073109,0.003426019,-0.083764297,0.065685191,-0.000150074,1.17e-06,-0.001329124,0.001571533,0.001327534,7.09e-05,-0.009721198,0.012448384,-0.002910051,0.002151839,-0.062274633,0.054416343,Alan,aplaudir,1
0.764747493,3.67e-06,0.762617077,0.768137921,0.524661098,1.28e-06,0.523290391,0.526454419,0.362448303,5.33e-05,0.353097934,0.371480772,0.34015239,0.002308956,0.278726417,0.403012107,0.352970082,0.004041457,0.268307546,0.432614666,0.512914784,7.27e-06,0.51000187,0.517886245,0.352003751,7.72e-06,0.347886814,0.355498687,0.338938764,0.002217969,0.282829417,0.402835879,-0.000175329,2.32e-06,-0.002168797,0.002260809,0.000206996,5.16e-07,-0.001381421,0.000748431,6.18e-05,3.13e-05,-0.007021553,0.007448579,-0.001594431,0.001371278,-0.054568084,0.046786763,-0.002944734,0.002361309,-0.072848209,0.061767034,-0.000511178,2.98e-06,-0.002535946,0.001864499,0.000426859,6.87e-06,-0.003234133,0.003889644,0.001630045,0.001395581,-0.049427239,0.0519574,Alan,aplaudir,2
0.753804594,2.05e-05,0.744252267,0.756869342,0.518352659,2.87e-06,0.515759163,0.520825872,0.361528578,3.65e-05,0.350038468,0.36632088,0.337853672,0.001726947,0.273405285,0.390585972,0.354115691,0.003481309,0.264588725,0.427947491,0.505798239,4.24e-07,0.504965132,0.506998014,0.341815872,4.77e-05,0.331300253,0.348245915,0.334312547,0.001253712,0.293836691,0.383853188,0.001617577,1.07e-05,-0.001011022,0.007628433,0.000287707,2.33e-06,-0.003052759,0.001185321,-0.002326059,1.24e-05,-0.006914292,0.001719392,-0.005842924,0.001158522,-0.053966769,0.038565848,-0.007358042,0.002364668,-0.075747254,0.056105673,-0.000112154,8.84e-07,-0.002032882,0.000834542,-0.001903486,1.48e-05,-0.007049977,0.003621258,-0.001565771,0.000980791,-0.050545087,0.039368724,Alan,aplaudir,3
0.758590852,6.51e-06,0.754809968,0.762147969,0.52444058,9.25e-06,0.52115953,0.529633705,0.342138298,1.43e-06,0.341217101,0.344477276,0.277801407,2.74e-07,0.276726551,0.278327228,0.274776371,3.05e-06,0.272342869,0.277185246,0.511391311,1.98e-05,0.50410427,0.5156729,0.3973019,0.001037518,0.349040257,0.435504836,0.44482697,0.008545735,0.316167543,0.55130748,0.001048286,2.49e-07,0.0,0.001530508,0.001210596,7.49e-07,0.0,0.002530681,0.000368422,5.6e-07,-0.000534831,0.0014996,0.000153375,4.31e-07,-0.000415742,0.001600677,-0.000254595,2.35e-06,-0.001451423,0.003060215,0.001652661,1.7e-06,0.0,0.003197377,-0.003893437,0.000667607,-0.033368686,0.034989109,-0.006679522,0.006073198,-0.099604455,0.10514022,Alan,saludar,1
